Cell,CD20,CD45,CD34,CD10,CD19
VZA01001.K12,1448.78,9173.96,2415.23,481.934,1446.82
VZA01001.L01,702.949,531.419,17896.9,28280.4,7868.27
VZA01001.L02,391.489,1646.08,35851,31665.8,5883.32
VZA01001.L03,681.462,3807.41,21117.8,30645.6,5997.16
VZA01001.L04,2421.6,2677.55,20090.3,34923,5780.91
VZA01001.L05,1852.6,1791.46,23805.6,37187.9,5993.5
VZA01001.L06,1212.09,2239.94,21044.3,30139.3,3878.65
VZA01001.L07,1057.49,1186.07,25265,26149.2,4012.67
VZA01001.L08,1825.3,1221.68,16906.8,11087.9,3529.09
VZA01001.L11,1575.24,12980.7,2204.77,624.637,0
VZA01001.M01,785.547,2240.04,14984.1,32549.7,6190.06
VZA01001.M02,1468.27,2253.12,13774.6,37302.4,4288.67
VZA01001.M06,997.827,3245.66,11537.3,20268.3,1915.19
VZA01001.M07,304.009,1313.34,12761.6,44545.4,7401.4
VZA01001.M08,1067.65,4410.57,24263.1,29283.5,4188.25
VZA01001.M09,1241.48,8886.05,2315.3,816.563,1175.34
VZA01001.M11,1506.82,11170.8,2517.98,679.854,1363.63
VZA01001.M12,37522.8,12698.6,1689.62,337.303,13633.1
VZA01001.N01,422.709,2975.41,25417.5,29610.1,4223.7
VZA01001.N02,1486.48,1171.93,22987.9,38613.9,4406.87
VZA01001.N03,1180.47,275.551,15717.5,27807.2,4167.48
VZA01001.N06,1326.49,3924.34,14591.1,21728.2,2332.26
VZA01001.N07,1443,1765.45,26024.1,11322.3,4229.58
VZA01001.N09,1345.01,13723.3,1824.82,603.161,1376.37
VZA01001.N10,1344.69,16413.2,2105.7,777.267,1644.88
VZA01001.N11,1479.38,9278.11,2244.37,518.283,2374.51
VZA01001.N12,75703.2,9905.62,1638.76,183.856,14751.8
VZA01001.O02,1329.37,393.602,24104.8,45611,10269.2
VZA01001.O03,330.959,1762.37,20705.4,37528.2,6108.27
VZA01001.O04,2386.5,2768.09,4888.05,28899.7,6448.15
VZA01001.O05,32333.1,5442.62,1809.31,15987.6,11142.5
VZA01001.O07,427.123,4617.82,6236.76,19398.6,2792.71
VZA01001.O08,1090.58,1783.08,20009.1,17159.9,2100.94
VZA01001.O10,1348.89,23340.9,3099.51,1077.82,1261.69
VZA01001.O11,1304.65,15647.7,2196.62,899.282,729.127
VZA01001.O12,1358.9,17403.9,1979.74,414.725,2118.07
VZA01001.P01,766.621,6691.08,12189,29552.7,3701.17
VZA01001.P02,801.576,482.546,16141.3,31279.6,2829.33
VZA01001.P03,993.764,1462.39,21524.4,33195.2,4180.03
VZA01001.P05,1865.74,1898.5,9748.3,26280.9,3386.76
VZA01001.P06,875.83,3318,18668.1,20269,2164.12
VZA01001.P08,883.18,2295.22,21799.1,22213.5,3906.02
VZA01001.P09,1856.84,13705.3,2807.27,692.271,1129.46
VZA01001.P10,1489.15,13631.1,2276.75,725.718,1137.14
VZA01001.P11,1522.17,12278.4,2372.77,510.77,1137.15
VZA01001.P12,1563.6,15730.5,3212.63,1220.72,778.886
VZA01005.A02,982.971,1422.73,17975.6,29442.4,2924.74
VZA01005.A03,545.953,1706.04,17993.3,26015,4198.49
VZA01005.A04,210.292,1293.89,20140.1,28965.8,5860.72
VZA01005.B01,1227.34,881.822,27842.5,14257.8,4071.68
VZA01005.B02,2206.31,289.002,23328.6,39263.7,6130.24
VZA01005.B03,1443.47,0,27403.9,18040.8,10592.8
VZA01005.C01,961.715,1839.53,14324.8,41283.7,4109.45
VZA01005.C02,509.958,2495.77,13355.7,32923.8,4200.97
VZA01005.C03,588.579,2232.61,20444.9,31911.9,4070.67
VZA01005.D01,327.032,1371.6,21424.1,26803.5,4421.27
VZA01005.D02,143.28,716.474,18010,30617.3,3782.02
VZA01005.D03,1268.74,1062.05,13818.2,22543,2316.67
VZA01005.E02,1331.85,382.88,22167,32082.4,3993.23
VZA01005.E03,1114.98,632.158,17137.3,31265.3,5053.02
VZA01005.E04,1758.63,1509.05,22937.2,30683.3,3272.27
VZA01005.F01,1394.71,1167.17,22335.7,52139.6,12440.2
VZA01005.F03,1468.52,576.178,2482.56,606.827,1381.04
VZA01005.F04,467.707,1348.32,22227.5,32119.8,6279.69
VZA01005.G01,1565.23,1516.78,7907.61,43164.2,3852.57
VZA01005.G02,1317.8,40.9307,27321.5,18842.2,7891.35
VZA01005.G03,792.971,3324.25,25649.8,17034.7,3237
VZA01005.G04,1206.32,1526.4,21866,40078.4,5037.76
VZA01005.H01,1592.16,886.932,14599,21549,2901.95
VZA01005.H03,1106.86,1111.58,13515.6,16412.4,2987.8
VZA01005.H04,773.742,919.341,18989.7,42227.8,5316.6
VZA01005.I01,1728.68,1310.64,17997.2,20441.3,1803.94
VZA01005.I02,1308.28,2377.39,15728.7,36452.1,6714.98
VZA01005.I03,1460.83,417.714,14017.4,19934.6,3164.07
VZA01005.I04,1436.37,1745.8,12367.4,25536.9,3780.82
VZA01005.J01,215.289,628.195,17823.6,32207.1,6081.89
VZA01005.J02,341.442,1695.37,17230.3,45698.1,4564.3
VZA01005.J03,1341.22,633.13,6057.15,32435.3,3785.77
VZA01005.K01,982.679,591.451,10824.8,27569.5,3066.42
VZA01005.K02,1481.99,1613.95,17029.1,17197,4157.46
VZA01005.K04,1479.75,745.635,25530,23801,2411.94
VZA01005.L01,1294.45,3742.91,34119,27896.8,5478.01
VZA01005.L02,0,1508.77,17617.6,40081.3,6730.64
VZA01005.M01,839.053,1141.51,12545.6,30650.4,3479.18
VZA01005.M03,835.751,284.121,22179.6,14258.1,7829.73
VZA01005.M04,1156.6,2668.42,15219.4,38302.2,5210.54
VZA01005.N01,629.63,2709.55,14393.5,35114.7,4531.06
VZA01005.N02,1759.42,440.581,2494.47,719.265,1647.35
VZA01005.N03,1350.51,2362.81,2667.14,16615,5557.99
VZA01005.N04,78.726,3005.87,9985.46,31001.2,6260.67
VZA01005.O01,1686.82,1198.18,7161.9,30053.8,4194.15
VZA01005.O02,869.973,2579.36,13232.7,40420.2,4843.69
VZA01005.O03,927.402,1926.57,8367.4,20157.8,2571.1
VZA01005.O04,1128.16,867.995,26336.9,18618.5,3610.06
VZA01005.P04,826.845,2367.18,22924,28122.6,5146.11
